columna,tipo,is_nullable,max_length
IdOrdenPedidoPol,int,False,4
IdOrdenPedidoEnc,int,False,4
bl_no,varchar,True,50
NoPoliza,nvarchar,True,100
pto_descarga,nvarchar,True,100
viaje_no,nvarchar,True,100
buque_no,nvarchar,True,100
remitente,nvarchar,True,100
fecha_abordaje,datetime,True,8
destino,nvarchar,True,100
dir_destino,nvarchar,True,100
descripcion,nvarchar,True,500
po_number,nvarchar,True,100
cantidad,int,True,4
piezas,int,True,4
total_kgs,float,True,8
cbm,float,True,8
dua,nvarchar,True,100
fecha_poliza,datetime,True,8
pais_procede,nvarchar,True,100
tipo_cambio,float,True,8
total_valoraduana,float,True,8
total_lineas,int,True,4
total_bultos,int,True,4
total_bultos_peso,float,True,8
total_usd,float,True,8
total_flete,float,True,8
total_seguro,float,True,8
user_agr,nvarchar,True,100
fec_agr,datetime,True,8
user_mod,nvarchar,True,100
fec_mod,datetime,True,8
clave_aduana,varchar,True,50
nit_imp_exp,varchar,True,50
clase,varchar,True,50
mod_transporte,varchar,True,50
total_liquidar,float,True,8
total_general,float,True,8
codigo_poliza,nvarchar,True,100
ticket,nvarchar,True,100
numero_orden,nvarchar,True,100
fecha_aceptacion,datetime,True,8
fecha_llegada,datetime,True,8
total_otros,float,True,8
IdRegimen,int,True,4
activo,bit,True,1
total_bultos_peso_neto,float,True,8
