COLUMN_NAME	DATA_TYPE
IdMovimiento	int
IdEmpresa	int
IdBodegaOrigen	int
IdTransaccion	int
IdPropietarioBodega	int
IdProductoBodega	int
IdUbicacionOrigen	int
IdUbicacionDestino	int
IdPresentacion	int
IdEstadoOrigen	int
IdEstadoDestino	int
IdUnidadMedida	int
IdTipoTarea	int
IdBodegaDestino	int
IdRecepcion	int
cantidad	float
serie	nvarchar
peso	float
lote	nvarchar
fecha_vence	datetime
fecha	datetime
barra_pallet	nvarchar
hora_ini	datetime
hora_fin	datetime
fecha_agr	datetime
usuario_agr	nvarchar
cantidad_hist	float
peso_hist	float
lic_plate	nvarchar
IdOperadorBodega	int
IdRecepcionDet	int
IdPedidoEnc	int
IdPedidoDet	int
IdDespachoEnc	int
IdDespachoDet	int
