codigo	nombre	filas_dup	un_total
WMS384	GUINDA FRUTALIA C/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ	61	304.0
WMS123	PALMITOS MIGUELS ENTEROS 12/850GR 30OZ	50	1425.0
WMS221	MANDARINA EN ALMIBAR MIGUELS 12/800GR	42	1615.0
WMS91	ALCACHOFA KILLIOS 12/390 GRS.13.8OZ A8	39	604.0
WMS92	MELOCOTON MIGUELS MITADES 6/2650GR 93.5OZ GALON	37	503.0
WMS89	CHAMPINONES KILLIOS 24/400GRMS 14.1OZ	34	6580.0
WMS56	MAIZ DULCE MIGUELS 24/425GR 15OZ	33	3219.0
WMS229	MELOCOTON KILLIOS MITADES 12/820 GR 29OZ	31	7658.0
WMS167	MELOCOTON MIGUELS MITADES 12/820GR 29OZ	30	3165.0
WMS132	ACEITUNAS EXCELENCIA NEGRAS EN RODAJA 6/3000GRS 105.8OZ	26	816.0
WMS87	CHAMPINONES KILLIOS 24/184GRMS 4.5OZ	24	12764.0
WMS52	HIGO DE PRIMERA MIGUELS ENTERO LATA 6/1 GALON 3,115g	22	388.0
WMS157	GARBANZO KILLIOS 24/400 GR 14OZ	19	3180.0
WMS169	CHILE PIMIENTO KILLIOS 24/185 GR 6.5OZ	17	7339.0
WMS77	PEPINILLOS MIGUELS ROD. HAMBURGUESA 12/440GR 15.5OZ	17	1332.0
WMS383	GUINDA FRUTALIA S/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ	17	154.0
WMS161	GARBANZOS KILLIOS 12/800 GR 28OZ	16	1102.0
WMS127	MOSTAZA DIJON DON LAZARO 12/350GR	15	1775.0
WMS36	GUINDA FRUTALIA CON TALLO 4/1 GALON VIDRIO/4256GRS 150OZ	15	76.0
WMS184	ATUN LATA EN AGUA COSTA BRAVA 32/170GR 6oz	14	11376.0
WMS80	ELOTITOS TIERNOS MIGUELS ENTEROS 24/200GR 7OZ	14	1251.0
WMS122	PINA MIGUELS EN RODAJA 12/820GR 29OZ	14	802.0
WMS219	PEPINILLOS MIGUELS ENTEROS 12/908GR 32OZ	14	227.0
WMS158	GARBANZO DON LAZARO 24/400 GR 14OZ	13	1227.0
WMS100	CHAMPINONES KILLIOS EN RODAJA 6/2840GR 100.17OZ	13	543.0
