IdTransaccion,movs,primera_aparicion,ultima_aparicion,internos
2,1343,2025-06-03 09:31:32.940000,2025-11-30 10:08:22.530000,1343
7926,2,2025-11-30 11:58:07.813000,2025-11-30 11:58:07.813000,2
7927,4,2025-11-30 12:38:37.880000,2025-11-30 12:38:37.880000,4
7928,2,2025-11-30 12:40:54.273000,2025-11-30 12:40:54.273000,2
7929,5,2025-11-30 12:50:41.517000,2025-11-30 12:50:41.517000,5
7930,4,2025-11-30 13:01:21.520000,2025-11-30 13:01:21.520000,4
7931,2,2025-11-30 13:16:37.560000,2025-11-30 13:16:37.560000,2
7932,12,2025-11-30 13:19:06.427000,2025-11-30 13:19:06.427000,12
7933,3,2025-11-30 13:39:13.027000,2025-11-30 13:39:13.027000,3
7934,1,2025-11-30 13:39:38.787000,2025-11-30 13:39:38.787000,1
7935,4,2025-11-30 13:48:39.987000,2025-11-30 13:48:39.987000,4
7936,17,2025-11-30 14:27:56.163000,2025-11-30 14:27:56.163000,17
7937,2,2025-11-30 14:37:24.927000,2025-11-30 14:37:24.927000,2
7938,2,2025-11-30 14:49:10.997000,2025-11-30 14:49:10.997000,2
7939,29,2025-11-30 15:06:46.197000,2025-11-30 15:06:46.197000,29
7940,41,2025-11-30 15:15:47.290000,2025-11-30 15:15:47.290000,41
7941,27,2025-11-30 15:19:16.370000,2025-11-30 15:19:16.370000,27
7942,4,2025-11-30 15:19:54.597000,2025-11-30 15:19:54.597000,4
7943,5,2025-11-30 15:36:47.703000,2025-11-30 15:36:47.703000,5
7944,31,2025-11-30 15:57:49.210000,2025-11-30 15:57:49.210000,31
7945,2,2025-11-30 15:58:43.673000,2025-11-30 15:58:43.673000,2
