IdProductoBodega,n_lineas,suma_um,lotes
395,542,24580.0,19
1515,586,21421.0,24
1350,414,18978.0,11
730,284,16068.0,5
1315,292,15622.0,9
1320,371,13535.0,12
1375,274,11353.0,7
1495,251,11186.0,8
1355,368,8877.0,14
370,349,6769.0,6
1290,55,6042.0,9
55,271,5878.0,7
1511,600,5231.0,23
1365,67,5002.0,5
65,164,4689.0,14
460,157,4226.0,5
345,266,4189.0,8
1485,63,4117.0,3
300,74,4070.0,11
1051,3,4064.0,1
740,116,4050.0,5
1300,189,3945.0,15
1345,90,3830.0,5
1395,100,3738.0,5
485,77,3587.0,4
1510,55,3513.0,2
1335,70,3485.0,3
1500,70,3308.0,4
1295,123,3111.0,7
1525,89,3015.0,5
