IdProductoBodega,codigo,nombre,n_ajustes,sumas_pos,sumas_neg,neto,primer,ultimo
1511,WMS92,MELOCOTON MIGUELS MITADES 6/2650GR 93.5OZ GALON,25,1519.0,0.0,1519.0,2026-01-23 10:13:31.517000,2026-04-28 09:07:13.920000
431,WMS175,PALMITOS MIGUELS ENTEROS 12/700GR 26OZ,18,864.0,0.0,864.0,2026-01-28 10:04:12.623000,2026-02-14 07:33:32.107000
1446,WMS80,ELOTITOS TIERNOS MIGUELS ENTEROS 24/200GR 7OZ,16,1273.0,0.0,1273.0,2026-01-28 09:24:26.910000,2026-03-03 08:54:28.020000
1336,WMS6,PALMITOS MIGUELS ENTEROS 24/200GR 7OZ,11,492.0,0.0,492.0,2025-12-16 13:11:57.873000,2026-01-28 10:29:01.317000
171,WMS123,PALMITOS MIGUELS ENTEROS 12/850GR 30OZ,10,691.0,0.0,691.0,2026-02-05 13:22:12.533000,2026-04-11 06:29:48.673000
51,WMS100,CHAMPINONES KILLIOS EN RODAJA 6/2840GR 100.17OZ,7,816.0,0.0,816.0,2025-12-04 12:06:54.907000,2026-04-27 10:48:29.550000
456,WMS18,ESPARRAGOS VERDES MIGUELS VIDRIO 12/330GR 11.64OZ,7,196.0,0.0,196.0,2025-12-10 12:38:01.977000,2026-03-20 06:33:50.147000
566,WMS2,PALMITOS MIGUELS ENTEROS 12/420GR 15OZ,6,204.0,0.0,204.0,2026-01-29 12:13:31.990000,2026-01-29 12:16:17.273000
286,WMS147,AIOLI MAYONESA AL AJO DON LAZARO 6/320GR,5,72.0,0.0,72.0,2026-03-19 16:02:52.047000,2026-03-19 16:07:50.810000
391,WMS167,MELOCOTON MIGUELS MITADES 12/820GR 29OZ,5,517.0,0.0,517.0,2025-12-04 12:02:36.460000,2026-04-13 12:43:04.980000
841,WMS251,CHOCOLATE GUINDAS CUBIERTAS CARDON 18/40GR 1.4OZ BOLSITA,5,244.0,0.0,244.0,2025-12-03 16:05:44.610000,2026-03-03 08:51:46.853000
1426,WMS76,PEPINILLOS MIGUELS ENTEROS 24/215GR 7.5OZ,5,216.0,0.0,216.0,2026-01-28 10:15:07.313000,2026-01-28 10:17:21.370000
1516,WMS93,MELOCOTON MIGUELS MITADES 6/3000GR GALON,5,987.0,0.0,987.0,2026-01-12 12:10:02.310000,2026-01-20 11:07:09.763000
386,WMS165,GUINDA BOLSA SEGUNDA FRUTALIA 5/2.4 KG,4,275.0,0.0,275.0,2025-12-04 06:56:24.100000,2026-03-18 06:48:08.233000
531,WMS193,DULCE DE LECHE LA CONDESA MANGA 30/1lbs.,4,141.0,0.0,141.0,2026-01-14 12:17:53.613000,2026-03-20 06:03:58.037000
661,WMS216,VINAGRE DE MANZANA ORGANICO DON LAZARO 12/500ML,4,159.0,0.0,159.0,2026-01-28 09:49:40.457000,2026-04-10 09:41:43.347000
381,WMS164,GUINDA FRUTALIA MITADES BOLSA 5/2.4 KG,3,15.0,0.0,15.0,2026-04-10 09:38:28.817000,2026-04-10 09:38:28.837000
366,WMS161,GARBANZOS KILLIOS 12/800 GR 28OZ,3,156.0,0.0,156.0,2026-01-28 10:11:37.660000,2026-02-14 07:49:43.193000
346,WMS158,GARBANZO DON LAZARO 24/400 GR 14OZ,3,24.0,0.0,24.0,2025-12-15 12:50:19.483000,2025-12-15 12:50:19.493000
251,WMS139,ACEITUNAS EXCELENCIA NEGRAS POUCH EN RODAJA 10/1700GRS,3,10.0,0.0,10.0,2026-01-13 13:17:13,2026-01-14 12:26:01.437000
596,WMS204,ACEITE OLIVA VIRGEN EXTRA DON LAZARO 12/500ML,3,3.0,0.0,3.0,2026-01-23 12:20:21.817000,2026-01-23 12:25:37.320000
686,WMS221,MANDARINA EN ALMIBAR MIGUELS 12/800GR,3,12.0,0.0,12.0,2026-04-10 09:44:31.120000,2026-04-10 09:44:31.170000
701,WMS224,ARVEJA KILLIOS 12/800GR 28.22 OZ,3,10.0,0.0,10.0,2026-03-03 08:44:02.360000,2026-03-03 08:44:02.377000
706,WMS225,ARVEJA KILLIOS 24/425GR,3,226.0,0.0,226.0,2026-01-28 11:07:28.010000,2026-04-10 09:48:00.823000
851,WMS254,CHOCOLATE CARDON GUINDAS 12/141GR 5OZ BOLSA,3,373.0,0.0,373.0,2025-12-03 15:48:46.033000,2026-02-14 07:26:43.927000
871,WMS258,ACEITUNA EXCELENCIA RELLENA DE PIMIENTO 6/800GR 28OZ,3,18.0,0.0,18.0,2025-12-13 10:46:22.027000,2026-03-19 16:00:56.147000
916,WMS267,ELOTITOS TIERNOS KILLIOS RODAJA 12/440 GRS. 16OZ,3,348.0,0.0,348.0,2026-01-28 09:42:24.397000,2026-01-28 09:43:37.597000
1241,WMS41,GUINDA VERDE FRUTALIA 4/1 CUBETA 4256 GRS 150OZ,3,8.0,0.0,8.0,2026-03-19 15:59:42.507000,2026-03-20 06:13:10.263000
1476,WMS86,ELOTITOS MIGUELS LOCOS 12/440GR,3,120.0,0.0,120.0,2026-01-30 09:45:26.950000,2026-01-30 09:48:13.283000
46,WMS10,PACAYITAS MIGUELS 12/908GR 32OZ,2,48.0,0.0,48.0,2026-02-14 07:36:19.880000,2026-02-14 07:36:19.920000
