idajusteenc,fecha,idbodega,referencia,ajuste_por_inventario,n_lineas,um_neg,um_pos,usuario
1043,2026-04-28,1,,0,1,0.0,0.0,Mario Santizo
1044,2026-04-28,1,,0,1,0.0,0.0,Mario Santizo
1045,2026-04-28,1,,0,1,0.0,0.0,Mario Santizo
1046,2026-04-28,1,,0,1,0.0,0.0,Mario Santizo
1041,2026-04-27,1,,0,1,0.0,0.0,Mario Santizo
1042,2026-04-27,1,,0,1,0.0,0.0,Mario Santizo
1040,2026-04-25,4,,0,1,0.0,0.0,Mario Santizo
1031,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1032,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1033,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1034,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1035,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1036,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1037,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1038,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1039,2026-04-23,1,,0,1,0.0,0.0,Mario Santizo
1030,2026-04-22,1,,0,1,-3.0,0.0,Mario Santizo
1028,2026-04-16,1,,0,1,-42.0,0.0,Mario Santizo
1029,2026-04-16,1,,0,1,-96.0,0.0,Mario Santizo
1027,2026-04-14,1,,0,1,-5.0,0.0,Mario Santizo
1026,2026-04-13,1,,0,3,0.0,0.0,Mario Santizo
1025,2026-04-11,1,,0,1,-72.0,0.0,Mario Santizo
1014,2026-04-10,1,,0,1,-12.0,0.0,Mario Santizo
1015,2026-04-10,1,,0,1,-2.0,0.0,Mario Santizo
1016,2026-04-10,1,,0,2,-36.0,0.0,Mario Santizo
1017,2026-04-10,1,,0,4,-144.0,0.0,Mario Santizo
1018,2026-04-10,1,,0,2,-7.0,0.0,Mario Santizo
1019,2026-04-10,1,,0,1,-32.0,0.0,Mario Santizo
1020,2026-04-10,1,,0,3,-15.0,0.0,Mario Santizo
