IdProductoBodega,IdProducto,producto_codigo,producto_nombre,IdUbicacion,ubicacion_codigo,IdProductoEstado,estado,Lote,lic_plate,filas_duplicadas,un_totales,primera_fecha,ultima_fecha
1261,253,WMS45,GUINDAS FRUTALIA CON TALLO 12/908GR 32OZ,371,2A3,1,BUEN ESTADO,2C2601,0,13,78.0,2026-02-06 12:11:50.377000,2026-03-20 06:28:29.200000
1216,244,WMS384,GUINDA FRUTALIA C/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ,294,1D3,1,BUEN ESTADO,CC2601,FU07555,12,24.0,2026-03-04 12:42:37.827000,2026-03-04 12:42:37.827000
1511,303,WMS92,MELOCOTON MIGUELS MITADES 6/2650GR 93.5OZ GALON,1038,1A1,1,BUEN ESTADO,24217,FU06050,10,94.0,2026-01-27 09:47:59.917000,2026-01-27 09:47:59.917000
171,35,WMS123,PALMITOS MIGUELS ENTEROS 12/850GR 30OZ,937,1B4,1,BUEN ESTADO,18.29124,0,10,60.0,2025-11-29 11:29:55,2025-11-29 11:29:55
281,57,WMS146,ACEITUNA RELLENA DE PIMIENTO EXCELENCIA 6/3000GR GALON,214,3B1,1,BUEN ESTADO,25148AG,FU07964,9,193.0,2026-03-19 09:18:06.297000,2026-03-19 09:18:06.297000
171,35,WMS123,PALMITOS MIGUELS ENTEROS 12/850GR 30OZ,812,1A3,1,BUEN ESTADO,2124625,FU06841,9,54.0,2026-02-12 12:20:37.400000,2026-02-12 12:20:37.400000
1506,302,WMS91,ALCACHOFA KILLIOS 12/390 GRS.13.8OZ A8,385,3C1,1,BUEN ESTADO,5175,0,9,54.0,2025-11-29 10:15:33,2025-11-29 12:15:31
671,135,WMS219,PEPINILLOS MIGUELS ENTEROS 12/908GR 32OZ,67,1C4,1,BUEN ESTADO,75.34925,FU06663,9,53.0,2026-02-09 06:31:19.770000,2026-02-09 06:31:19.770000
485,97,WMS184,ATUN LATA EN AGUA COSTA BRAVA 32/170GR 6oz,1305,15A3,1,BUEN ESTADO,S78E2CBNNA1VAP,57000102,8,4992.0,2026-04-20 12:54:10.497000,2026-04-20 12:54:10.950000
1191,239,WMS34,ACEITUNAS MIGUELS RELLENAS DE PIMIENTO 24/227GR 8OZ,68,1D4,1,BUEN ESTADO,0125925,0,8,570.0,2025-11-28 17:40:58,2026-02-20 11:47:16.770000
686,138,WMS221,MANDARINA EN ALMIBAR MIGUELS 12/800GR,878,1C4,1,BUEN ESTADO,DLF25428,FU06711,8,102.0,2026-02-10 10:16:44.460000,2026-02-10 10:16:44.460000
