IdStock,IdProductoBodega,producto_codigo,producto_nombre,IdUbicacion,ubicacion_codigo,IdProductoEstado,estado,Lote,lic_plate,Cantidad,fecha_ingreso
133013,6,WMS218,ACEITE DE AGUACATE DON LAZARO 12/500 ML,844,3A1,1,BUEN ESTADO,01226,FU08883,420.0,2026-04-21 10:32:31.727000
133018,6,WMS218,ACEITE DE AGUACATE DON LAZARO 12/500 ML,844,3A1,1,BUEN ESTADO,01226,FU08883,1.0,2026-04-21 10:32:31.727000
133920,6,WMS218,ACEITE DE AGUACATE DON LAZARO 12/500 ML,844,3A1,1,BUEN ESTADO,01226,FU08883,6.0,2026-04-21 10:32:31.727000
83976,11,WMS297,ACEITUNA EXCELENCIA VERDE S/H 12/230 GRS.,11,2A1,1,BUEN ESTADO,25069AG,FU04897,3.0,2025-12-15 11:31:12.300000
91186,11,WMS297,ACEITUNA EXCELENCIA VERDE S/H 12/230 GRS.,11,2A1,1,BUEN ESTADO,25069AG,FU04897,1.0,2025-12-15 11:31:12.300000
75261,11,WMS297,ACEITUNA EXCELENCIA VERDE S/H 12/230 GRS.,528,4B2,1,BUEN ESTADO,25069AG,0,1068.0,2025-11-28 13:20:49
80840,11,WMS297,ACEITUNA EXCELENCIA VERDE S/H 12/230 GRS.,528,4B2,1,BUEN ESTADO,25069AG,0,7.0,2025-11-28 13:20:49
75255,16,WMS298,ACEITUNA EXCELENCIA RELLENAS DE PASTA DE PIMIENTO 12/230 GRS.,527,4A2,1,BUEN ESTADO,25069AG,0,996.0,2025-11-28 13:16:54
125169,16,WMS298,ACEITUNA EXCELENCIA RELLENAS DE PASTA DE PIMIENTO 12/230 GRS.,527,4A2,1,BUEN ESTADO,25069AG,0,24.0,2026-03-30 07:37:25.373000
111441,21,WMS326,HONGOS SHIITAKE KILLIOS 12/250 GRS.,435,2A4,1,BUEN ESTADO,1271,0,240.0,2025-11-28 11:47:14
120586,21,WMS326,HONGOS SHIITAKE KILLIOS 12/250 GRS.,435,2A4,1,BUEN ESTADO,1271,0,4.0,2025-11-28 11:47:14
112999,26,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,491,2A3,1,BUEN ESTADO,1269,0,564.0,2025-11-29 10:48:16
113000,26,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,491,2A3,1,BUEN ESTADO,1269,0,3.0,2025-11-29 10:48:16
76039,26,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,970,3C2,1,BUEN ESTADO,1269,0,432.0,2025-11-29 10:56:28
91063,26,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,970,3C2,1,BUEN ESTADO,1269,0,720.0,2025-11-29 12:38:52
96495,30,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,65,1A4,1,BUEN ESTADO,1269,0,132.0,2025-05-28 12:20:38
96496,30,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,65,1A4,1,BUEN ESTADO,1269,0,5.0,2025-05-28 12:20:38
261,30,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,232,3D5,1,BUEN ESTADO,1269,0,960.0,2025-05-28 12:56:24
73093,30,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,232,3D5,1,BUEN ESTADO,1269,0,60.0,2025-05-28 12:20:38
75828,31,WMS382,ALCACHOFA MARINADA KILLIOS 12/170 GRS,31,4A4,1,BUEN ESTADO,5122,0,2724.0,2025-11-29 08:48:27
125281,31,WMS382,ALCACHOFA MARINADA KILLIOS 12/170 GRS,31,4A4,1,BUEN ESTADO,5122,0,120.0,2026-03-30 07:37:56.047000
127865,31,WMS382,ALCACHOFA MARINADA KILLIOS 12/170 GRS,31,4A4,1,BUEN ESTADO,5122,0,8.0,2025-11-29 08:48:27
75704,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,0,1440.0,2025-11-29 06:57:34
116376,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,0,9.0,2025-11-29 06:57:34
131114,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,0,1.0,2025-11-29 06:57:34
131115,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,0,1.0,2025-11-29 06:57:34
104352,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,FU05187,12.0,2025-12-29 07:54:41.887000
115497,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,FU05187,12.0,2025-12-29 07:54:41.887000
125289,36,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,FU08280,84.0,2026-03-30 07:38:57.300000
