IdTransaccion,movimientos,internos,con_presentacion,avg_cant,primera_fecha,ultima_fecha
2,1060,1060,701,482.3594339622642,2025-11-30 10:08:21.140000,2025-11-30 10:08:22.530000
3477,78,0,78,54.62820512820513,2025-11-30 10:33:24.110000,2025-11-30 15:14:11.427000
3479,78,0,64,29.653846153846153,2025-11-30 11:13:11.280000,2025-11-30 15:48:48.937000
3481,53,0,53,207.67924528301887,2025-11-30 11:20:18.347000,2025-11-30 15:11:48.203000
3496,52,0,46,24.23076923076923,2025-11-30 14:10:06.313000,2025-11-30 15:38:58.220000
3488,48,0,48,55.020833333333336,2025-11-30 11:21:40.033000,2025-11-30 15:02:00.077000
3485,39,0,34,35.56410256410256,2025-11-30 12:18:16.600000,2025-11-30 15:59:24.370000
7940,39,39,39,100.38461538461539,2025-11-30 15:15:47.290000,2025-11-30 15:15:47.290000
7944,28,28,23,54.57142857142857,2025-11-30 15:57:49.210000,2025-11-30 15:57:49.210000
7941,26,26,26,396.6923076923077,2025-11-30 15:19:16.370000,2025-11-30 15:19:16.370000
7939,24,24,24,103.58333333333333,2025-11-30 15:06:46.197000,2025-11-30 15:06:46.197000
3474,23,0,23,148.3913043478261,2025-11-30 10:26:40.733000,2025-11-30 14:27:22.517000
3480,14,0,14,8.5,2025-11-30 11:04:38.823000,2025-11-30 12:58:37.987000
3484,12,0,8,22.333333333333332,2025-11-30 10:40:30.540000,2025-11-30 13:13:30.047000
7932,12,12,10,55.666666666666664,2025-11-30 13:19:06.427000,2025-11-30 13:19:06.427000
7936,11,11,11,285.8181818181818,2025-11-30 14:27:56.163000,2025-11-30 14:27:56.163000
3486,10,0,10,504.6,2025-11-30 11:03:34.670000,2025-11-30 13:38:17.970000
1,9,7,9,336.0,2025-11-30 11:01:36,2025-11-30 14:20:54.813000
3478,6,0,6,10.666666666666666,2025-11-30 10:33:25.947000,2025-11-30 13:03:36.127000
3487,6,0,6,7.5,2025-11-30 14:44:59.033000,2025-11-30 15:16:23.273000
3482,6,0,6,24.166666666666668,2025-11-30 10:39:02.500000,2025-11-30 12:06:20.620000
7943,5,5,5,110.4,2025-11-30 15:36:47.703000,2025-11-30 15:36:47.703000
3476,4,0,4,32.0,2025-11-30 11:01:48.467000,2025-11-30 13:03:54.133000
7942,3,3,3,14.0,2025-11-30 15:19:54.597000,2025-11-30 15:19:54.597000
7933,3,3,3,1600.0,2025-11-30 13:39:13.027000,2025-11-30 13:39:13.027000
7929,3,3,3,10.0,2025-11-30 12:50:41.517000,2025-11-30 12:50:41.517000
7935,2,2,2,20.0,2025-11-30 13:48:39.987000,2025-11-30 13:48:39.987000
7927,2,2,2,57.0,2025-11-30 12:38:37.880000,2025-11-30 12:38:37.880000
7928,2,2,2,12.0,2025-11-30 12:40:54.273000,2025-11-30 12:40:54.273000
7937,2,2,1,6.5,2025-11-30 14:37:24.927000,2025-11-30 14:37:24.927000
7938,2,2,1,15.0,2025-11-30 14:49:10.997000,2025-11-30 14:49:10.997000
7945,2,2,2,20.0,2025-11-30 15:58:43.673000,2025-11-30 15:58:43.673000
3475,2,0,2,125.0,2025-11-30 10:44:29.150000,2025-11-30 13:05:02.710000
1531,1,1,1,1320.0,2025-11-30 10:57:31.513000,2025-11-30 10:57:31.513000
7926,1,1,1,12.0,2025-11-30 11:58:07.813000,2025-11-30 11:58:07.813000
7930,1,1,1,36.0,2025-11-30 13:01:21.520000,2025-11-30 13:01:21.520000
7931,1,1,1,12.0,2025-11-30 13:16:37.560000,2025-11-30 13:16:37.560000
