IdMovimiento,IdTipoTarea,tipo_tarea,fecha,cantidad,IdPresentacion,lote,lic_plate,IdUbicacionOrigen,IdUbicacionDestino,IdEstadoOrigen,estado_origen,IdEstadoDestino,estado_destino,usuario_agr,IdRecepcion,IdRecepcionDet,IdPedidoEnc,IdDespachoEnc
308043,1,RECE,2026-02-05 08:23:59.277000,300.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2116,2,0,0
308054,2,UBIC,2026-02-05 08:38:00,300.0,90,BM2601,,716,1024,1,BUEN ESTADO,1,BUEN ESTADO,18,2116,0,0,0
308348,2,UBIC,2026-02-05 11:17:37,50.0,90,BM2601,,1024,309,1,BUEN ESTADO,1,BUEN ESTADO,30,2116,0,0,0
308507,8,PIK,2026-02-05 11:54:32.213000,250.0,90,BM2601,,1024,,1,BUEN ESTADO,1,BUEN ESTADO,20,2116,2,13750,0
308534,8,PIK,2026-02-05 12:19:21.830000,25.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2116,2,13749,0
309019,11,VERI,2026-02-05 14:12:09.130000,5.0,90,BM2601,,309,720,1,BUEN ESTADO,1,BUEN ESTADO,124,2116,2,13749,0
309026,5,DESP,2026-02-05 14:14:29.747000,25.0,90,BM2601,,309,309,1,BUEN ESTADO,1,BUEN ESTADO,20,2116,0,13749,10520
309037,11,VERI,2026-02-05 14:14:38.480000,50.0,90,BM2601,,1024,720,1,BUEN ESTADO,1,BUEN ESTADO,20,2116,2,13750,0
309042,5,DESP,2026-02-05 14:16:08.600000,250.0,90,BM2601,,1024,1024,1,BUEN ESTADO,1,BUEN ESTADO,20,2116,0,13750,10522
309981,1,RECE,2026-02-06 12:06:56.540000,185.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2144,7,0,0
310057,1,RECE,2026-02-06 12:21:52.697000,195.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2144,12,0,0
310077,1,RECE,2026-02-06 12:22:57,300.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2144,13,0,0
310563,2,UBIC,2026-02-06 15:05:45,300.0,90,BM2601,,716,310,1,BUEN ESTADO,1,BUEN ESTADO,30,2144,0,0,0
310564,2,UBIC,2026-02-06 15:07:30,195.0,90,BM2601,,716,309,1,BUEN ESTADO,1,BUEN ESTADO,30,2144,0,0,0
310607,2,UBIC,2026-02-07 06:49:17,185.0,90,BM2601,,716,307,1,BUEN ESTADO,1,BUEN ESTADO,30,2144,0,0,0
311639,8,PIK,2026-02-07 11:22:45.503000,20.0,90,BM2601,,307,,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13868,0
311640,8,PIK,2026-02-07 11:22:45.520000,25.0,90,BM2601,,307,,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13866,0
311709,11,VERI,2026-02-07 11:48:53.443000,4.0,90,BM2601,,307,720,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13868,0
311714,11,VERI,2026-02-07 11:51:18.147000,5.0,90,BM2601,,307,720,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13866,0
311727,5,DESP,2026-02-07 11:56:04.823000,25.0,90,BM2601,,307,307,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,0,13866,10636
311770,5,DESP,2026-02-07 12:06:52.847000,20.0,90,BM2601,,307,307,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,0,13868,10640
312334,8,PIK,2026-02-09 11:47:10.943000,100.0,90,BM2601,,307,,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13922,0
312612,11,VERI,2026-02-09 12:41:51.230000,20.0,90,BM2601,,307,720,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,13922,0
312981,5,DESP,2026-02-09 13:44:34.880000,100.0,90,BM2601,,307,307,1,BUEN ESTADO,1,BUEN ESTADO,12,2144,0,13922,10685
317726,20,EXPLOSION,2026-02-13 07:48:13,5.0,,BM2601,,307,22,1,BUEN ESTADO,1,BUEN ESTADO,31,2144,0,0,0
317728,2,UBIC,2026-02-13 07:48:46,1.0,,BM2601,,22,1052,1,BUEN ESTADO,1,BUEN ESTADO,31,2144,0,0,0
317729,3,CEST,2026-02-13 07:49:15,4.0,,BM2601,,22,21,1,BUEN ESTADO,16,MAL ESTADO,31,2144,0,0,0
319205,1,RECE,2026-02-14 08:35:38.513000,250.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2277,1,0,0
319228,1,RECE,2026-02-14 08:42:43.440000,190.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2273,2,0,0
319231,1,RECE,2026-02-14 08:48:10.717000,50.0,90,BM2601,,716,716,1,BUEN ESTADO,1,BUEN ESTADO,18,2273,3,0,0
319669,2,UBIC,2026-02-14 11:38:46,190.0,90,BM2601,,716,309,1,BUEN ESTADO,1,BUEN ESTADO,30,2273,0,0,0
320358,2,UBIC,2026-02-16 07:28:00,250.0,90,BM2601,,716,307,1,BUEN ESTADO,1,BUEN ESTADO,18,2277,0,0,0
320359,2,UBIC,2026-02-16 07:28:24,50.0,90,BM2601,,716,307,1,BUEN ESTADO,1,BUEN ESTADO,18,2273,0,0,0
320426,8,PIK,2026-02-16 08:38:41.843000,35.0,90,BM2601,,307,,1,BUEN ESTADO,1,BUEN ESTADO,20,2144,7,14383,0
320427,8,PIK,2026-02-16 08:38:57.813000,5.0,90,BM2601,,307,,1,BUEN ESTADO,1,BUEN ESTADO,124,2277,1,14383,0
320435,8,PIK,2026-02-16 09:05:07.993000,195.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2144,12,14383,0
320437,8,PIK,2026-02-16 09:05:19.960000,85.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2273,2,14383,0
320438,8,PIK,2026-02-16 09:05:33.930000,85.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2273,2,14383,0
320439,8,PIK,2026-02-16 09:05:44.653000,20.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2273,2,14383,0
320440,8,PIK,2026-02-16 09:06:06.840000,25.0,90,BM2601,,309,,1,BUEN ESTADO,1,BUEN ESTADO,124,2116,2,14383,0
320473,8,PIK,2026-02-16 09:35:55.573000,4.0,,BM2601,,21,,16,MAL ESTADO,16,MAL ESTADO,20,2144,7,14398,0
320485,11,VERI,2026-02-16 09:38:13.080000,4.0,,BM2601,,21,720,16,MAL ESTADO,16,MAL ESTADO,20,2144,7,14398,0
