IdTipoTarea,tipo_tarea,n_mov,suma_cant,min_fecha,max_fecha
8,PIK,108,6552.0,2025-12-01 09:30:10.453000,2026-04-28 10:29:33.223000
11,VERI,107,2814.0,2025-12-01 13:14:17.303000,2026-04-28 11:45:45.227000
5,DESP,106,6502.0,2025-12-01 13:28:02.280000,2026-04-28 11:49:23.450000
2,UBIC,91,11506.0,2025-12-04 18:28:15,2026-04-24 07:46:59
1,RECE,28,5500.0,2025-12-04 18:24:16.367000,2026-04-23 11:36:15.300000
3,CEST,16,1539.0,2025-12-20 09:52:17,2026-04-23 10:32:47
6,INVE,6,1095.0,2025-11-30 10:08:21.240000,2025-11-30 10:08:22.320000
17,AJCANTN,3,15.0,2026-04-10 09:38:28.817000,2026-04-10 09:38:28.837000
20,EXPLOSION,3,15.0,2026-01-05 13:39:35,2026-02-25 12:26:53
25,REEMP_BE_PICK,1,75.0,2025-12-27 06:58:31.627000,2025-12-27 06:58:31.627000
