"File","Line","Match","Pattern"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","350","<Reference Include=""System.ValueTuple, Version=4.0.3.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51, processorArchitecture=MSIL"">","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","351","<HintPath>..\packages\System.ValueTuple.4.5.0\lib\net47\System.ValueTuple.dll</HintPath>","System\.ValueTuple\.dll"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","351","<HintPath>..\packages\System.ValueTuple.4.5.0\lib\net47\System.ValueTuple.dll</HintPath>","System\.ValueTuple\."
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","351","<HintPath>..\packages\System.ValueTuple.4.5.0\lib\net47\System.ValueTuple.dll</HintPath>","packages\\System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","351","<HintPath>..\packages\System.ValueTuple.4.5.0\lib\net47\System.ValueTuple.dll</HintPath>","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","351","<HintPath>..\packages\System.ValueTuple.4.5.0\lib\net47\System.ValueTuple.dll</HintPath>","HintPath>.*packages\\System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","423","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","426","<Import Project=""..\packages\Microsoft.Data.SqlClient.SNI.5.2.0\build\net462\Microsoft.Data.SqlClient.SNI.targets"" Condition=""Exists('..\packages\Microsoft.Data.SqlClient.SNI.5.2.0\build\net462\Microsoft.Data.SqlClient.SNI.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","443","<Import Project=""..\packages\Microsoft.Data.SqlClient.SNI.6.0.2\build\net462\Microsoft.Data.SqlClient.SNI.targets"" Condition=""Exists('..\packages\Microsoft.Data.SqlClient.SNI.6.0.2\build\net462\Microsoft.Data.SqlClient.SNI.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","449","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","packages\\System\.ValueTuple"
